dbms,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CONSTRAINT_TYPE,REFERENCED_TABLE_SCHEMA,REFERENCED_TABLE_NAME,REFERENCED_COLUMN_NAME
mysql,orgasoft,inventoryitem,inventoryitem,5,varchar,255,NULL,NULL,NULL,NULL
mysql,orgasoft,inventoryitem,updatedAt,8,date,NULL,NULL,NULL,NULL,NULL
mysql,orgasoft,inventoryplace,inventoryplace,2,varchar,50,NULL,NULL,NULL,NULL
mysql,orgasoft,member,birthday,13,date,NULL,NULL,NULL,NULL,NULL
mysql,orgasoft,member,createdAt,15,date,NULL,NULL,NULL,NULL,NULL
mysql,orgasoft,member,email,11,varchar,255,NULL,NULL,NULL,NULL
mysql,orgasoft,member,firstName,7,varchar,255,NULL,NULL,NULL,NULL
mysql,orgasoft,member,gender,12,varchar,20,NULL,NULL,NULL,NULL
mysql,orgasoft,member,lastName,8,varchar,255,NULL,NULL,NULL,NULL
mysql,orgasoft,member,note,14,text,65535,NULL,NULL,NULL,NULL
mysql,orgasoft,member,phoneHome,10,varchar,50,NULL,NULL,NULL,NULL
mysql,orgasoft,member,phoneMobile,9,varchar,50,NULL,NULL,NULL,NULL
mysql,orgasoft,member,title,6,varchar,150,NULL,NULL,NULL,NULL
mysql,orgasoft,member,updatedAt,16,date,NULL,NULL,NULL,NULL,NULL
mysql,orgasoft,membergroup,membergroup,2,varchar,50,NULL,NULL,NULL,NULL
mysql,orgasoft,memberitemamount,amount,4,int,NULL,NULL,NULL,NULL,NULL
mysql,orgasoft,memberitemamount,createdAt,5,date,NULL,NULL,NULL,NULL,NULL
mysql,orgasoft,memberitemamount,updatedAt,6,date,NULL,NULL,NULL,NULL,NULL
mysql,orgasoft,memberqualification,date,4,date,NULL,NULL,NULL,NULL,NULL
mysql,orgasoft,memberqualification,passed,5,tinyint,NULL,NULL,NULL,NULL,NULL
mysql,orgasoft,position,position,2,varchar,50,NULL,NULL,NULL,NULL
mysql,orgasoft,qualification,description,3,text,65535,NULL,NULL,NULL,NULL
mysql,orgasoft,qualification,qualification,2,varchar,50,NULL,NULL,NULL,NULL
mysql,orgasoft,status,status,2,varchar,50,NULL,NULL,NULL,NULL
mysql,sys,sys_config,set_by,4,varchar,128,NULL,NULL,NULL,NULL
mysql,sys,sys_config,set_time,3,timestamp,NULL,NULL,NULL,NULL,NULL
mysql,sys,sys_config,value,2,varchar,128,NULL,NULL,NULL,NULL
